phase,action,target,detail
3,resep WIP,MM-WIP-0040 Pastry Cream WIP,5 → 5 komponen
3,resep WIP,MM-WIP-0041 Salt Bread WIP,9 → 9 komponen
3,resep WIP,MM-WIP-0042 Sambal Hijau WIP,9 → 9 komponen
3,resep WIP,MM-WIP-0043 Sawi Kimchi WIP,1 → 2 komponen
3,resep WIP,MM-WIP-0044 SFC Marinated WIP,9 → 9 komponen
3,resep WIP,MM-WIP-0045 Shoyu Gyoza WIP,4 → 4 komponen
3,gabung baris kembar,Souffle Pancake WIP → Telur Ayam,"muncul >1× di workbook, qty digabung jadi 2"
3,resep WIP,MM-WIP-0046 Souffle Pancake WIP,7 → 7 komponen
3,resep WIP,MM-WIP-0047 Soy Chicken Sauce WIP,0 → 4 komponen
3,resep WIP,MM-WIP-0048 Spicy Goma Sauce WIP,10 → 10 komponen
3,resep WIP,MM-WIP-0049 Spicy Mayo WIP,4 → 4 komponen
3,resep WIP,MM-WIP-0050 Strawberry Filling WIP,0 → 2 komponen
3,resep WIP,MM-WIP-0051 Strawberry Jam WIP,5 → 5 komponen
3,gabung baris kembar,Strawberry Sauce WIP → Water,"muncul >1× di workbook, qty digabung jadi 45"
3,resep WIP,MM-WIP-0052 Strawberry Sauce WIP,5 → 5 komponen
3,resep WIP,MM-WIP-0053 Sulu Spice WIP,6 → 6 komponen
3,resep WIP,MM-WIP-0054 Sushi Vinegar WIP,4 → 4 komponen
3,resep WIP,MM-WIP-0055 Tare Sauce WIP,9 → 9 komponen
3,resep WIP,MM-WIP-0056 Tendon Sauce WIP,4 → 4 komponen
3,resep WIP,MM-WIP-0057 Tteokbokki Sauce WIP,10 → 10 komponen
3,resep WIP,MM-WIP-0058 Vanilla Sauce WIP,7 → 7 komponen
3,resep WIP,MM-WIP-0059 Yakiniku Sauce WIP,0 → 12 komponen
3,resep WIP,MM-WIP-0060 Yakitori Butter WIP,7 → 7 komponen
3,resep WIP,MM-WIP-0077 Yuzu Dressing WIP,0 → 2 komponen
3,resep WIP,MM-WIP-0063 Brioche Hot Dog WIP,7 → 7 komponen
3,resep WIP,MM-WIP-0064 Brioche Sandwich Toast WIP,7 → 7 komponen
3,resep WIP,MM-WIP-0074 Orange Simple Syrup WIP,3 → 3 komponen
3,resep WIP,MM-WIP-0075 Oolong Tea WIP,2 → 2 komponen
3,resep WIP,MM-WIP-0065 Nasi Putih WIP,2 → 2 komponen
3,resep WIP,MM-WIP-0076 Lemon Squeeze Juice WIP,1 → 1 komponen
3,resep WIP,MM-WIP-0069 Wasabi WIP,2 → 2 komponen
3,resep WIP,MM-WIP-0070 Wasabi Mayo WIP,2 → 2 komponen
3,resep WIP,MM-WIP-0071 Adonan Tempura WIP,3 → 3 komponen
3,resep WIP,MM-WIP-0066 Tsukune WIP,9 → 9 komponen
3,resep WIP,MM-WIP-0067 Beef Yakiniku WIP,1 → 2 komponen
3,resep WIP,MM-WIP-0068 Gyutan Marinasi WIP,1 → 2 komponen
3,resep WIP,MM-WIP-0072 Chicken Marinated Fillet WIP,1 → 2 komponen
3,resep WIP,MM-WIP-0073 Chicken Marinated Wings WIP,1 → 2 komponen
3,resep WIP,MM-WIP-0078 Tapioka Charcoal WIP,0 → 2 komponen
3,resep WIP,MM-WIP-0079 Nasi Onigiri Aonori WIP,0 → 4 komponen
3,resep WIP,MM-WIP-0080 Nasi Onigiri Butter WIP,0 → 5 komponen
3,resep WIP,MM-WIP-0081 Nori Crispy WIP,0 → 6 komponen
3,resep WIP,MM-WIP-0082 Cakalang Spicy WIP,0 → 3 komponen
3,resep WIP,MM-WIP-0083 Salmon Mayo WIP,0 → 2 komponen
3,resep WIP,MM-WIP-0084 Spicy Tuna WIP,0 → 5 komponen
3,resep WIP,MM-WIP-0085 Beef Steak WIP,0 → 5 komponen
3,resep WIP,MM-WIP-0086 Nasi Goreng WIP,0 → 9 komponen
3,resep WIP,MM-WIP-0087 Kinoko Butter WIP,0 → 6 komponen
3,resep WIP,MM-WIP-0074 Orange Simple Syrup WIP,3 → 3 komponen
3,resep WIP,MM-WIP-0075 Oolong Tea WIP,2 → 2 komponen
3,resep WIP,MM-WIP-0076 Lemon Squeeze Juice WIP,1 → 1 komponen
3,BOM produk,MM-STALL-03-008 Yasai Itame,15 → 15 baris
3,BOM produk,MM-STALL-03-009 Ika Sugatayaki,4 → 4 baris
3,BOM produk,MM-STALL-03-010 Ika Okonomiyaki,10 → 10 baris
3,BOM produk,MM-STALL-03-011 Beef Okonomiyaki,10 → 10 baris
3,BOM produk,MM-STALL-03-007 Takoyaki,0 → 10 baris
3,BOM produk,MM-STALL-13-075 Unagimeshi,0 → 3 baris
3,BOM produk,MM-STALL-13-076 Gyudon,0 → 3 baris
3,BOM produk,MM-STALL-04-012 Okonomiyaki Gyoza,0 → 7 baris
3,BOM produk,MM-STALL-04-013 Slider Gyoza Mentai,6 → 6 baris
3,BOM produk,MM-STALL-04-014 Spicy Tteokbokki Gyoza,7 → 7 baris
3,BOM produk,MM-STALL-04-015 Yaki Gyoza,3 → 3 baris
3,BOM produk,MM-STALL-04-016 Age Gyoza,2 → 2 baris
3,BOM produk,MM-STALL-05-018 Tuna Wasabi Mayo Taco,6 → 6 baris
3,BOM produk,MM-STALL-05-019 Unagi Nigiri,3 → 3 baris
3,BOM produk,MM-STALL-05-020 Chuka Idako Gunkan,0 → 3 baris
3,BOM produk,MM-STALL-05-021 Chuka Idako Tsumami,0 → 4 baris
3,BOM produk,MM-STALL-05-022 Unagi Sushi Roll,7 → 7 baris
3,gabung baris kembar,Crispy Salmon Roll → Crunchy Tanuki,"muncul >1× di workbook, qty digabung jadi 21"
3,BOM produk,MM-STALL-05-023 Crispy Salmon Roll,10 → 9 baris
3,BOM produk,MM-STALL-05-024 Salmon Cured Yuzu,0 → 4 baris
3,BOM produk,MM-STALL-05-025 Tuna Cured Yuzu,0 → 4 baris
3,BOM produk,MM-STALL-05-026 Maguro Maki,3 → 3 baris
3,BOM produk,MM-STALL-05-027 Salmon Maki,3 → 3 baris
3,gabung baris kembar,Salmon Philadelphia → Fresh Salmon,"muncul >1× di workbook, qty digabung jadi 48"
3,BOM produk,MM-STALL-05-028 Salmon Philadelphia,7 → 6 baris
3,BOM produk,MM-STALL-05-029 Crispy Temaki Sushi,4 → 4 baris
3,BOM produk,MM-STALL-05-030 California Roll,7 → 7 baris
3,BOM produk,MM-STALL-06-031 Doughnut Matcha,0 → 2 baris
3,BOM produk,MM-STALL-06-032 Doughnut Hojicha,2 → 2 baris
3,BOM produk,MM-STALL-06-033 Souffle Pancake Mochi Chocolate,3 → 3 baris
3,BOM produk,MM-STALL-06-034 Souffle Pancake Mochi Matcha,3 → 3 baris
3,BOM produk,MM-STALL-06-035 Souffle Pancake Mochi Hojicha,3 → 3 baris
3,BOM produk,MM-STALL-06-036 Souffle Pancake Mochi Vanilla,3 → 3 baris
3,BOM produk,MM-STALL-06-037 Bomboloni Mochi Chocolate,3 → 3 baris
3,BOM produk,MM-STALL-06-038 Bomboloni Mochi Matcha,3 → 3 baris
3,BOM produk,MM-STALL-06-039 Bomboloni Mochi Hojicha,3 → 3 baris
3,BOM produk,MM-STALL-06-040 Bomboloni Mochi Strawberry,3 → 3 baris
3,BOM produk,MM-STALL-06-041 Shio Pan OG,1 → 2 baris
3,BOM produk,MM-STALL-06-042 Shio Pan Cheese Furikake,3 → 3 baris
3,BOM produk,MM-STALL-06-043 Egg Tartar Shio Pan,2 → 2 baris
3,BOM produk,MM-STALL-07-044 Gyuniku Burger,0 → 4 baris
3,BOM produk,MM-STALL-07-045 Chicken Namban Burger,8 → 8 baris
3,BOM produk,MM-STALL-07-046 Tempura Kimchi Hotdog,5 → 6 baris
3,BOM produk,MM-STALL-07-088 Large Sausage Beef Hotdog,0 → 5 baris
3,BOM produk,MM-STALL-07-089 Large Sausage Chicken Hotdog,0 → 5 baris
3,BOM produk,MM-STALL-07-048 Yakiniku Hotdog,4 → 4 baris
3,BOM produk,MM-STALL-07-049 Ebi Shinjo Toasted,6 → 6 baris
3,BOM produk,MM-STALL-16-084 Beef Katsu Sando,0 → 5 baris
3,BOM produk,MM-STALL-07-090 Ebi Furai Hotdog,0 → 6 baris
3,BOM produk,MM-STALL-08-050 Chicken Namban,0 → 6 baris
3,BOM produk,MM-STALL-08-051 Signature Torikaraage,6 → 6 baris
3,BOM produk,MM-STALL-08-052 Cheese Minced Katsu,5 → 5 baris
3,BOM produk,MM-STALL-08-053 Ebi Furai Signature,4 → 4 baris
3,BOM produk,MM-STALL-08-054 Tomorokoshi Ribs,4 → 5 baris
3,BOM produk,MM-STALL-08-055 SFC Signature,7 → 7 baris
3,BOM produk,MM-STALL-08-056 Crispy Wings,4 → 4 baris
3,BOM produk,MM-STALL-09-058 Gyutan Donburi,0 → 8 baris
3,BOM produk,MM-STALL-09-059 Beef Yakiniku Bowl,8 → 8 baris
3,BOM produk,MM-STALL-09-060 Smoked Duck Donburi,8 → 8 baris
3,BOM produk,MM-STALL-10-062 Spicy Goma Ramen,11 → 11 baris
3,BOM produk,MM-STALL-10-063 Signature Shoyu Ramen,10 → 11 baris
3,BOM produk,MM-STALL-10-064 Beef Abura Soba,14 → 14 baris
3,BOM produk,MM-STALL-10-065 Smoked Duck Abura Soba,14 → 14 baris
3,BOM produk,MM-STALL-10-066 Tori Abura Soba,14 → 14 baris
3,BOM produk,MM-STALL-11-067 Udon Carbonara,0 → 11 baris
3,BOM produk,MM-STALL-11-068 Gyutan Udon,0 → 4 baris
3,BOM produk,MM-STALL-11-069 Beef Udon,0 → 4 baris
3,BOM produk,MM-STALL-12-091 Beef Okayu,0 → 6 baris
3,BOM produk,MM-STALL-12-071 Smoked Duck Okayu,0 → 6 baris
3,BOM produk,MM-STALL-12-072 Tori Okayu,0 → 6 baris
3,BOM produk,MM-STALL-13-073 Beef Hikiniku,0 → 8 baris
3,BOM produk,MM-STALL-13-074 Salmon Don,0 → 9 baris
3,BOM produk,MM-STALL-02-001 Negima,0 → 8 baris
3,BOM produk,MM-STALL-02-002 Tsukune,6 → 6 baris
3,BOM produk,MM-STALL-02-003 Torikawa,6 → 6 baris
3,BOM produk,MM-STALL-02-004 Tebasaki,6 → 6 baris
3,BOM produk,MM-STALL-02-005 Beef Enoki Roll,7 → 7 baris
3,BOM produk,MM-STALL-02-006 Beef Mochi,6 → 6 baris
3,BOM produk,MM-STALL-14-092 Onigiri Spicy Tuna (Butter - Nori Sheet),0 → 3 baris
3,BOM produk,MM-STALL-14-093 Onigiri Cakalang (Butter - Nori Sheet),0 → 3 baris
3,BOM produk,MM-STALL-14-094 Onigiri Salmon Mayo (Butter - Nori Sheet),0 → 3 baris
3,BOM produk,MM-STALL-14-095 Onigiri Yakiniku (Butter - Nori Sheet),0 → 3 baris
3,BOM produk,MM-STALL-14-096 Onigiri Spicy Tuna (Aonori - Nori Sheet),0 → 3 baris
3,BOM produk,MM-STALL-14-097 Onigiri Cakalang (Aonori - Nori Sheet),0 → 3 baris
3,BOM produk,MM-STALL-14-098 Onigiri Salmon Mayo (Aonori - Nori Sheet),0 → 3 baris
3,BOM produk,MM-STALL-14-099 Onigiri Yakiniku (Aonori - Nori Sheet),0 → 3 baris
3,BOM produk,MM-STALL-14-100 Onigiri Spicy Tuna (Butter - Nori Crispy),0 → 3 baris
3,BOM produk,MM-STALL-14-101 Onigiri Cakalang (Butter - Nori Crispy),0 → 3 baris
3,BOM produk,MM-STALL-14-102 Onigiri Salmon Mayo (Butter - Nori Crispy),0 → 3 baris
3,BOM produk,MM-STALL-14-103 Onigiri Yakiniku (Butter - Nori Crispy),0 → 3 baris
3,BOM produk,MM-STALL-14-104 Onigiri Spicy Tuna (Aonori - Nori Crispy),0 → 3 baris
3,BOM produk,MM-STALL-14-105 Onigiri Cakalang (Aonori - Nori Crispy),0 → 3 baris
3,BOM produk,MM-STALL-14-106 Onigiri Salmon Mayo (Aonori - Nori Crispy),0 → 3 baris
3,BOM produk,MM-STALL-14-107 Onigiri Yakiniku (Aonori - Nori Crispy),0 → 3 baris
3,BOM produk,MM-STALL-15-081 Sour Plum,0 → 4 baris
3,BOM produk,MM-STALL-15-082 Yuzu Milk,5 → 5 baris
3,BOM produk,MM-STALL-15-083 Oolong Peach,4 → 4 baris
3,BOM produk,MM-STALL-17-108 MATCHA COOKIES,0 → 7 baris
4,harga produk,MM-STALL-02-002 Tsukune,"harga_modal 10.772,13 → 5.315,63"
4,harga produk,MM-STALL-02-003 Torikawa,"harga_modal 5.733,73 → 3.959,67"
4,harga produk,MM-STALL-03-007 Takoyaki,"harga_modal 16.487,15 → 10.599,79"
4,harga produk,MM-STALL-03-008 Yasai Itame,"harga_modal 0 → 16.812,29"
4,harga produk,MM-STALL-03-009 Ika Sugatayaki,"harga_modal 21.275 → 21.552,6"
4,harga produk,MM-STALL-03-010 Ika Okonomiyaki,"harga_modal 0 → 25.490,39"
4,harga produk,MM-STALL-04-012 Okonomiyaki Gyoza,"harga_modal 12.606,18 → 11.258,89"
4,harga produk,MM-STALL-04-013 Slider Gyoza Mentai,"harga_modal 11.933,94 → 11.102,64"
4,harga produk,MM-STALL-05-018 Tuna Wasabi Mayo Taco,"harga_modal 11.582,42 → 29.605, harga_jual 0 → 80.000"
4,harga produk,MM-STALL-05-020 Chuka Idako Gunkan,"harga_modal 0 → 2.565,18"
4,harga produk,MM-STALL-05-021 Chuka Idako Tsumami,"harga_modal 0 → 2.732,8"
4,harga produk,MM-STALL-05-024 Salmon Cured Yuzu,"harga_modal 0 → 44.385,56, harga_jual 0 → 80.000"
4,harga produk,MM-STALL-05-025 Tuna Cured Yuzu,"harga_modal 0 → 33.530,56, harga_jual 0 → 70.000"
4,harga produk,MM-STALL-05-030 California Roll,"harga_modal 11.148.270 → 29.540,21"
4,harga produk,MM-STALL-02-005 Beef Enoki Roll,"harga_modal 109.731 → 6.869,67"
4,harga produk,MM-STALL-03-011 Beef Okonomiyaki,"harga_modal 151.290 → 19.777,07"
4,harga produk,MM-STALL-05-023 Crispy Salmon Roll,harga_modal 99.354 → 18.519
4,harga produk,MM-STALL-05-019 Unagi Nigiri,"harga_modal 2.714.477 → 14.507,03"
4,harga produk,MM-STALL-05-022 Unagi Sushi Roll,"harga_modal 6.718.790,27 → 32.987,07"
4,harga produk,MM-STALL-05-026 Maguro Maki,"harga_modal 87.200,47 → 6.350,47"
4,harga produk,MM-STALL-05-027 Salmon Maki,"harga_modal 90.540,47 → 9.690,47"
4,harga produk,MM-STALL-04-015 Yaki Gyoza,"harga_modal 658,33 → 6.952,48"
4,harga produk,MM-STALL-04-014 Spicy Tteokbokki Gyoza,"harga_modal 478,89 → 18.494,63"
4,harga produk,MM-STALL-04-016 Age Gyoza,"harga_modal 0 → 6.294,14"
4,harga produk,MM-STALL-02-006 Beef Mochi,"harga_modal 4.677,7 → 8.773"
4,harga produk,MM-STALL-02-004 Tebasaki,"harga_modal 627,7 → 6.043"
4,harga produk,MM-STALL-06-031 Doughnut Matcha,"harga_modal 3.044,91 → 3.038,49"
4,harga produk,MM-STALL-07-044 Gyuniku Burger,"harga_modal 344.894,27 → 16.447,8, harga_jual 0 → 50.000"
4,harga produk,MM-STALL-07-046 Tempura Kimchi Hotdog,"harga_modal 6.774,52 → 15.341,86, harga_jual 0 → 55.000"
4,harga produk,MM-STALL-07-047 Large Sausage Hotdog,"harga_modal 19.937,55 → 18.017,55"
4,harga produk,MM-STALL-07-048 Yakiniku Hotdog,"harga_modal 3.490,66 → 7.660,37"
4,harga produk,MM-STALL-07-049 Ebi Shinjo Toasted,"harga_modal 20.933,89 → 24.363,16, harga_jual 55.000 → 60.000"
4,harga produk,MM-STALL-08-053 Ebi Furai Signature,"harga_modal 30.894,87 → 19.716,36"
4,harga produk,MM-STALL-08-054 Tomorokoshi Ribs,"harga_modal 3.464,93 → 4.438,83"
4,harga produk,MM-STALL-06-037 Bomboloni Mochi Chocolate,"harga_modal 5.835 → 5.835,3"
4,harga produk,MM-STALL-06-039 Bomboloni Mochi Hojicha,"harga_modal 4.931 → 4.930,54"
4,harga produk,MM-STALL-06-038 Bomboloni Mochi Matcha,"harga_modal 4.922 → 4.921,5"
4,harga produk,MM-STALL-06-040 Bomboloni Mochi Strawberry,"harga_modal 5.239 → 5.239,2"
4,harga produk,MM-STALL-07-045 Chicken Namban Burger,"harga_modal 815.556 → 17.204,99, harga_jual 0 → 60.000"
4,harga produk,MM-STALL-05-029 Crispy Temaki Sushi,"harga_modal 2.479.176 → 5.825,77, harga_jual 0 → 30.000"
4,harga produk,MM-STALL-08-055 SFC Signature,"harga_modal 0 → 21.136,56"
4,harga produk,MM-STALL-05-028 Salmon Philadelphia,"harga_modal 2.876.087,71 → 22.707,71"
4,harga produk,MM-STALL-06-042 Shio Pan Cheese Furikake,"harga_modal 6.997,27 → 7.095,97"
4,harga produk,MM-STALL-06-041 Shio Pan OG,"harga_modal 1.059 → 2.439,12"
4,harga produk,MM-STALL-06-033 Souffle Pancake Mochi Chocolate,"harga_modal 4.256 → 4.256,47, harga_jual 0 → 25.000"
4,harga produk,MM-STALL-06-035 Souffle Pancake Mochi Hojicha,"harga_modal 5.056 → 5.055,84, harga_jual 0 → 30.000"
4,harga produk,MM-STALL-06-034 Souffle Pancake Mochi Matcha,"harga_modal 4.839 → 4.838,83, harga_jual 0 → 30.000"
4,harga produk,MM-STALL-06-036 Souffle Pancake Mochi Vanilla,"harga_modal 3.638 → 3.638,05, harga_jual 0 → 25.000"
4,harga produk,MM-STALL-08-051 Signature Torikaraage,"harga_modal 5.609.419,2 → 14.333,44"
4,harga produk,MM-STALL-08-052 Cheese Minced Katsu,"harga_modal 4.514,51 → 18.522,63"
4,harga produk,MM-STALL-02-001 Negima,"harga_modal 0 → 6.549,67"
4,harga produk,MM-STALL-06-032 Doughnut Hojicha,"harga_modal 3.045 → 3.045,11"
4,harga produk,MM-STALL-08-050 Chicken Namban,"harga_modal 0 → 11.278,96"
4,harga produk,PRD-20260823-001 Aka Miso Ramen,"harga_modal 0 → 0, harga_jual 65.000 → 75.000"
4,harga produk,MM-STALL-09-059 Beef Yakiniku Bowl,"harga_modal 43.852 → 20.786,17"
4,harga produk,MM-STALL-08-056 Crispy Wings,"harga_modal 0 → 13.328,72"
4,harga produk,MM-STALL-10-064 Beef Abura Soba,"harga_modal 2.649.285,26 → 30.314,04"
4,harga produk,MM-STALL-10-063 Signature Shoyu Ramen,"harga_modal 1.365.905,45 → 20.879,63"
4,harga produk,MM-STALL-09-058 Gyutan Donburi,"harga_modal 14.647,84 → 21.731,62"
4,harga produk,MM-STALL-09-060 Smoked Duck Donburi,"harga_modal 38.061,84 → 28.993,05"
4,harga produk,MM-STALL-10-061 Aka Miso Ramen,"harga_modal 54.600,39 → 54.600,39, harga_jual 0 → 75.000"
4,harga produk,MM-STALL-10-062 Spicy Goma Ramen,"harga_modal 20.207,98 → 31.404,34, harga_jual 0 → 90.000"
4,harga produk,MM-STALL-11-067 Udon Carbonara,"harga_modal 81.640,8 → 89.273,97, harga_jual 0 → 95.000"
4,harga produk,MM-STALL-11-068 Gyutan Udon,"harga_modal 0 → 56.016,45, harga_jual 0 → 80.000"
4,harga produk,MM-STALL-11-069 Beef Udon,"harga_modal 0 → 55.661,91, harga_jual 0 → 80.000"
4,harga produk,MM-STALL-12-071 Smoked Duck Okayu,"harga_modal 0 → 14.581,44, harga_jual 0 → 40.000"
4,harga produk,MM-STALL-12-072 Tori Okayu,"harga_modal 0 → 9.159,79, harga_jual 0 → 40.000"
4,harga produk,MM-STALL-13-073 Beef Hikiniku,"harga_modal 0 → 20.189,44, harga_jual 0 → 80.000"
4,harga produk,MM-STALL-13-074 Salmon Don,"harga_modal 0 → 34.912,01, harga_jual 0 → 90.000"
4,harga produk,MM-STALL-13-075 Unagimeshi,"harga_modal 0 → 62.556,66, harga_jual 0 → 160.000"
4,harga produk,MM-STALL-13-076 Gyudon,"harga_modal 0 → 21.832,7, harga_jual 0 → 85.000"
4,harga produk,MM-STALL-15-083 Oolong Peach,"harga_modal 24.753,96 → 2.566,85"
4,harga produk,MM-STALL-16-084 Beef Katsu Sando,"harga_modal 0 → 23.294,26, harga_jual 0 → 60.000"
4,harga produk,MM-STALL-15-081 Sour Plum,"harga_modal 0 → 6.519,76"
4,harga produk,MM-STALL-15-082 Yuzu Milk,"harga_modal 1.825.000 → 10.001,05"
4,harga produk,MM-STALL-10-066 Tori Abura Soba,"harga_modal 1.975.480,61 → 28.809,39"
4,harga produk,MM-STALL-10-065 Smoked Duck Abura Soba,"harga_modal 3.501.285,26 → 35.249,04"
4,harga produk,MM-STALL-07-088 Large Sausage Beef Hotdog,"harga_modal 0 → 29.825,55"
4,harga produk,MM-STALL-07-089 Large Sausage Chicken Hotdog,"harga_modal 0 → 21.297,55"
4,harga produk,MM-STALL-07-090 Ebi Furai Hotdog,"harga_modal 0 → 23.709,48"
4,harga produk,MM-STALL-12-091 Beef Okayu,"harga_modal 0 → 10.304,44"
4,harga produk,MM-STALL-14-092 Onigiri Spicy Tuna (Butter - Nori Sheet),"harga_modal 0 → 11.365,59"
4,harga produk,MM-STALL-14-093 Onigiri Cakalang (Butter - Nori Sheet),"harga_modal 0 → 14.562,24"
4,harga produk,MM-STALL-14-094 Onigiri Salmon Mayo (Butter - Nori Sheet),"harga_modal 0 → 13.666,72"
4,harga produk,MM-STALL-14-095 Onigiri Yakiniku (Butter - Nori Sheet),"harga_modal 0 → 11.849,38"
4,harga produk,MM-STALL-14-096 Onigiri Spicy Tuna (Aonori - Nori Sheet),"harga_modal 0 → 6.177,84"
4,harga produk,MM-STALL-14-097 Onigiri Cakalang (Aonori - Nori Sheet),"harga_modal 0 → 9.374,5"
4,harga produk,MM-STALL-14-098 Onigiri Salmon Mayo (Aonori - Nori Sheet),"harga_modal 0 → 8.478,97"
4,harga produk,MM-STALL-14-099 Onigiri Yakiniku (Aonori - Nori Sheet),"harga_modal 0 → 6.661,63"
4,harga produk,MM-STALL-14-100 Onigiri Spicy Tuna (Butter - Nori Crispy),"harga_modal 0 → 11.607,37"
4,harga produk,MM-STALL-14-101 Onigiri Cakalang (Butter - Nori Crispy),"harga_modal 0 → 14.804,02"
4,harga produk,MM-STALL-14-102 Onigiri Salmon Mayo (Butter - Nori Crispy),"harga_modal 0 → 13.908,5"
4,harga produk,MM-STALL-14-103 Onigiri Yakiniku (Butter - Nori Crispy),"harga_modal 0 → 12.091,16"
4,harga produk,MM-STALL-14-104 Onigiri Spicy Tuna (Aonori - Nori Crispy),"harga_modal 0 → 6.419,62"
4,harga produk,MM-STALL-14-105 Onigiri Cakalang (Aonori - Nori Crispy),"harga_modal 0 → 9.616,28"
4,harga produk,MM-STALL-14-106 Onigiri Salmon Mayo (Aonori - Nori Crispy),"harga_modal 0 → 8.720,76"
4,harga produk,MM-STALL-14-107 Onigiri Yakiniku (Aonori - Nori Crispy),"harga_modal 0 → 6.903,42"
4,harga produk,MM-STALL-17-108 MATCHA COOKIES,harga_modal 0 → 555
4,sync POS,PUR-MM-STALL-02-002 Tsukune,"cost_price → 5.315,63, base_price → 25.000"
4,sync POS,PUR-MM-STALL-02-003 Torikawa,"cost_price → 3.959,67, base_price → 15.000"
4,sync POS,PUR-MM-STALL-03-007 Takoyaki,"cost_price → 10.599,79, base_price → 60.000"
4,sync POS,PUR-MM-STALL-03-008 Yasai Itame,"cost_price → 16.812,29, base_price → 65.000"
4,sync POS,PUR-MM-STALL-03-009 Ika Sugatayaki,"cost_price → 21.552,6, base_price → 55.000"
4,sync POS,PUR-MM-STALL-03-010 Ika Okonomiyaki,"cost_price → 25.490,39, base_price → 60.000"
4,sync POS,PUR-MM-STALL-04-012 Okonomiyaki Gyoza,"cost_price → 11.258,89, base_price → 35.000"
4,sync POS,PUR-MM-STALL-04-013 Slider Gyoza Mentai,"cost_price → 11.102,64, base_price → 35.000"
4,sync POS,PUR-MM-STALL-05-018 Tuna Wasabi Mayo Taco,"cost_price → 29.605, base_price → 80.000"
4,sync POS,PUR-MM-STALL-05-020 Chuka Idako Gunkan,"cost_price → 2.565,18, base_price → 0"
4,sync POS,PUR-MM-STALL-05-021 Chuka Idako Tsumami,"cost_price → 2.732,8, base_price → 0"
4,sync POS,PUR-MM-STALL-05-024 Salmon Cured Yuzu,"cost_price → 44.385,56, base_price → 80.000"
4,sync POS,PUR-MM-STALL-05-025 Tuna Cured Yuzu,"cost_price → 33.530,56, base_price → 70.000"
4,sync POS,PUR-MM-STALL-05-030 California Roll,"cost_price → 29.540,21, base_price → 75.000"
4,sync POS,PUR-MM-STALL-02-005 Beef Enoki Roll,"cost_price → 6.869,67, base_price → 25.000"
4,sync POS,PUR-MM-STALL-03-011 Beef Okonomiyaki,"cost_price → 19.777,07, base_price → 65.000"
4,sync POS,PUR-MM-STALL-05-023 Crispy Salmon Roll,"cost_price → 18.519, base_price → 80.000"
4,sync POS,PUR-MM-STALL-05-019 Unagi Nigiri,"cost_price → 14.507,03, base_price → 65.000"
4,sync POS,PUR-MM-STALL-05-022 Unagi Sushi Roll,"cost_price → 32.987,07, base_price → 95.000"
4,sync POS,PUR-MM-STALL-05-026 Maguro Maki,"cost_price → 6.350,47, base_price → 30.000"
4,sync POS,PUR-MM-STALL-05-027 Salmon Maki,"cost_price → 9.690,47, base_price → 35.000"
4,sync POS,PUR-MM-STALL-04-015 Yaki Gyoza,"cost_price → 6.952,48, base_price → 30.000"
4,sync POS,PUR-MM-STALL-04-014 Spicy Tteokbokki Gyoza,"cost_price → 18.494,63, base_price → 40.000"
4,sync POS,PUR-MM-STALL-04-016 Age Gyoza,"cost_price → 6.294,14, base_price → 30.000"
4,sync POS,PUR-PRD-20260822-002 Steam Rice,"cost_price → 0, base_price → 15.000"
4,sync POS,PUR-MM-STALL-02-006 Beef Mochi,"cost_price → 8.773, base_price → 30.000"
4,sync POS,PUR-MM-STALL-02-004 Tebasaki,"cost_price → 6.043, base_price → 20.000"
4,buat kategori POS,BAKERY-STALL,belum ada di pos.pos_categories
4,sync POS,PUR-PRD-20260824-001 Doughnat Vanilla,"cost_price → 0, base_price → 15.000"
4,sync POS,PUR-PRD-20260825-002 Onigiri Butter Cakalang,"cost_price → 0, base_price → 0"
4,sync POS,PUR-MM-STALL-06-031 Doughnut Matcha,"cost_price → 3.038,49, base_price → 15.000"
4,sync POS,PUR-MM-STALL-07-044 Gyuniku Burger,"cost_price → 16.447,8, base_price → 50.000"
4,sync POS,PUR-MM-STALL-07-046 Tempura Kimchi Hotdog,"cost_price → 15.341,86, base_price → 55.000"
4,sync POS,PUR-MM-STALL-07-047 Large Sausage Hotdog,"cost_price → 18.017,55, base_price → 55.000"
4,sync POS,PUR-MM-STALL-07-048 Yakiniku Hotdog,"cost_price → 7.660,37, base_price → 50.000"
4,sync POS,PUR-MM-STALL-07-049 Ebi Shinjo Toasted,"cost_price → 24.363,16, base_price → 60.000"
4,sync POS,PUR-MM-STALL-08-053 Ebi Furai Signature,"cost_price → 19.716,36, base_price → 60.000"
4,sync POS,PUR-MM-STALL-08-054 Tomorokoshi Ribs,"cost_price → 4.438,83, base_price → 25.000"
4,sync POS,PUR-PRD-20260816-002 Cofe Peach,"cost_price → 0, base_price → 36.000"
4,sync POS,PUR-MM-STALL-06-037 Bomboloni Mochi Chocolate,"cost_price → 5.835,3, base_price → 20.000"
4,sync POS,PUR-MM-STALL-06-039 Bomboloni Mochi Hojicha,"cost_price → 4.930,54, base_price → 20.000"
4,sync POS,PUR-MM-STALL-06-038 Bomboloni Mochi Matcha,"cost_price → 4.921,5, base_price → 20.000"
4,sync POS,PUR-MM-STALL-06-040 Bomboloni Mochi Strawberry,"cost_price → 5.239,2, base_price → 20.000"
